No,Exchange ticker,Symbol,Companies,Sector,Date Added
1,500820,ASIANPAINT.BO,Asian Paints,Paints,21 December 2015[2]
2,532215,AXISBANK.BO,Axis Bank,Banking - Private,
3,532977,BAJAJ-AUTO.BO,Bajaj Auto,Automobile,
4,500034,BAJFINANCE.BO,Bajaj Finance,Finance (NBFC),24 December 2018[3]
5,532978,BAJAJFINSV.BO,Bajaj Finserv,Finance (Investment),
6,532454,BHARTIARTL.BO,Bharti Airtel,Telecommunications,
7,500124,DRREDDY.BO,Dr Reddy's Laboratories,Pharmaceuticals,
8,532281,HCLTECH.BO,HCL Technologies,IT Services & Consulting,
9,500010,HDFC.BO,HDFC,Finance (Housing),
10,500180,HDFCBANK.BO,HDFC Bank,Banking - Private,
11,500696,HINDUNILVR.BO,Hindustan Unilever Limited,FMCG,
12,532174,ICICIBANK.BO,ICICI Bank,Banking - Private,
13,532187,INDUSINDBK.BO,IndusInd Bank,Banking - Private,18 December 2017[4]
14,500209,INFY.BO,Infosys,IT Services & Consulting,
15,500875,ITC.BO,ITC Limited,Cigarettes & FMCG,
16,500247,KOTAKBANK.BO,Kotak Mahindra Bank,Banking - Private,19 June 2017[5]
17,500510,LT.BO,Larsen & Toubro,Engineering & Construction,
18,500520,M&M.BO,Mahindra & Mahindra,Automobile,
19,532500,MARUTI.BO,Maruti Suzuki,Automobile,
20,500790,NESTLEIND.BO,Nestlé India,FMCG,23 Dec 2019[6]
21,532555,NTPC.BO,NTPC,Power generation/Distribution,
22,500312,ONGC.BO,Oil and Natural Gas Corporation,Oil exploration and Production,
23,532898,POWERGRID.BO,Power Grid Corporation of India,Power generation/Distribution,20 June 2016[7]
24,500325,RELIANCE.BO,Reliance Industries Limited,Conglomerate,
25,500112,SBIN.BO,State Bank of India,Banking - Public,
26,524715,SUNPHARMA.BO,Sun Pharma,Pharmaceuticals,8 August 2011[8]
27,532540,TCS.BO,Tata Consultancy Services,IT Services & Consulting,
28,532755,TECHM.BO,Tech Mahindra,IT Services & Consulting,
29,500114,TITAN.BO,Titan Company,Diamond & Jewellery,23 Dec 2019[6]
30,532538,ULTRACEMCO.BO,UltraTech Cement,Cement,23 Dec 2019[6]